country,year,variety,variety_area_ha,grape_color,grape_yield_tonnes_per_ha,estimated_variety_production_tons
Argentina,2010,Muscat of Hamburg,1.9843,red,11.3,22.42259
Argentina,2010,Nebbiolo,180.4918,red,11.3,2039.5573400000003
Argentina,2010,Nero d'Avola,3.827,red,11.3,43.2451
Argentina,2010,Palomino Fino,162.66989999999998,white,11.3,1838.16987
Argentina,2010,Patagonia,39.5238,white,11.3,446.61894000000007
Argentina,2010,Patrizia Rosa,152.274,grey_or_gris,11.3,1720.6962
Argentina,2010,Pedro Giménez,13384.2726,white,11.3,151242.28038
Argentina,2010,Petit Manseng,5.548,white,11.3,62.692400000000006
Argentina,2010,Petit Verdot,458.8034,red,11.3,5184.47842
Argentina,2010,Pinot Blanc,27.2485,white,11.3,307.90805
Argentina,2010,Pinot Gris,386.2326,grey_or_gris,11.3,4364.42838
Argentina,2010,Pinot Meunier,11.48,red,11.3,129.72400000000002
Argentina,2010,Pinot Noir,1689.2012,red,11.3,19087.973560000002
Argentina,2010,Prosecco,9.62,white,11.3,108.706
Argentina,2010,Raboso Piave,48.5199,red,11.3,548.2748700000001
Argentina,2010,Rieslina,174.4497,white,11.3,1971.2816100000002
Argentina,2010,Riesling,110.1394,white,11.3,1244.57522
Argentina,2010,Rondinella,0.5,red,11.3,5.65
Argentina,2010,Ruby Cabernet,4.8354,red,11.3,54.64002
Argentina,2010,Saint Jeannet,55.504799999999996,white,11.3,627.20424
Argentina,2010,Sangiovese,2230.881,red,11.3,25208.9553
Argentina,2010,Sauvignon Blanc,2297.2024,white,11.3,25958.387120000003
Argentina,2010,Sauvignon Blanc (G),5.52,white,11.3,62.376
Argentina,2010,Sauvignonasse,628.8566000000001,white,11.3,7106.079580000001
Argentina,2010,Savagnin Blanc,20.8843,white,11.3,235.99259
Argentina,2010,Serna,36.1021,grey_or_gris,11.3,407.95373
Argentina,2010,Silvaner,9.8609,white,11.3,111.42817000000002
Argentina,2010,Syrah,13093.1126,red,11.3,147952.17238
Argentina,2010,Sémillon,955.8099,white,11.3,10800.65187
Argentina,2010,Tannat,580.772,red,11.3,6562.723600000001
Argentina,2010,Tempranillo,6564.6557999999995,red,11.3,74180.61054
Argentina,2010,Torrontes Mendocino,660.9956,white,11.3,7469.25028
Argentina,2010,Torrontés Riojano,8480.1235,white,11.3,95825.39555
Argentina,2010,Torrontés Sanjuanino,2527.0226000000002,white,11.3,28555.355380000005
Argentina,2010,Touriga Franca,0.43,red,11.3,4.859
Argentina,2010,Touriga Nacional,14.2925,red,11.3,161.50525000000002
Argentina,2010,Trebbiano Toscano,2424.8301,white,11.3,27400.580130000002
Argentina,2010,Tribidrag,0.36,red,11.3,4.0680000000000005
Argentina,2010,Trincadeira,0.25,red,11.3,2.825
Argentina,2010,Trousseau,54.4593,red,11.3,615.39009
Argentina,2010,Verdelho,15.49,white,11.3,175.037
Argentina,2010,Verdicchio Bianco,1.5,white,11.3,16.950000000000003
Argentina,2010,Verduzzo Friulano,4.6256,white,11.3,52.26928000000001
Argentina,2010,Vermentino,2.5293,white,11.3,28.581090000000003
Argentina,2010,Viognier,754.2358,white,11.3,8522.86454
Argentina,2010,other red,55.5818,red,11.3,628.07434
Argentina,2010,other white,31.0599,white,11.3,350.97687
Argentina,2016,Aglianico,50.9,red,7.9,402.11
Argentina,2016,Alicante Henri Bouschet,135.4,red,7.9,1069.66
Argentina,2016,Alvarelhão,6.4,red,7.9,50.56
Argentina,2016,Ancellotta,991.1,red,7.9,7829.6900000000005
Argentina,2016,Arinarnoa,1.0,red,7.9,7.9
Argentina,2016,Aspiran Bouschet,4086.6,red,7.9,32284.14
Argentina,2016,Barbera,443.5,red,7.9,3503.65
Argentina,2016,Bombino Bianco,9.4,white,7.9,74.26
Argentina,2016,Bonamico,136.8,red,7.9,1080.72
Argentina,2016,Bourboulenc,0.2,white,7.9,1.58
Argentina,2016,Béquignol Noir,615.7,red,7.9,4864.030000000001
Argentina,2016,Caberinta,38.3,red,7.9,302.57
Argentina,2016,Cabernet Franc,928.848,red,7.9,7337.8992
Argentina,2016,Cabernet Sauvignon,15355.7,red,7.9,121310.03000000001
Argentina,2016,Caladoc,15.400000000000002,red,7.9,121.66000000000003
Argentina,2016,Canari Noir,79.5,red,7.9,628.0500000000001
Argentina,2016,Canela,2.8,grey_or_gris,7.9,22.12
Argentina,2016,Cardinal,2.2,red,7.9,17.380000000000003
Argentina,2016,Carmenère,58.7,red,7.9,463.73
Argentina,2016,Casavecchia,5.8,red,7.9,45.82
Argentina,2016,Cereza,28886.6,grey_or_gris,7.9,228204.13999999998
Argentina,2016,Chardonnay,6226.7,white,7.9,49190.93
Argentina,2016,Chenin Blanc,2156.625,white,7.9,17037.3375
Argentina,2016,Cinsaut,1.4,red,7.9,11.06
Argentina,2016,Corvina Veronese,16.8,red,7.9,132.72
Argentina,2016,Corvinone,0.4,red,7.9,3.16
Argentina,2016,Criolla Grande,15595.6,red,7.9,123205.24
Argentina,2016,Criolla Mediana,6.8999999999999995,red,7.9,54.51
Argentina,2016,Croatina,16.3,red,7.9,128.77
Argentina,2016,Côt,40401.200000000004,red,7.9,319169.48000000004
Argentina,2016,Damaschino,526.6,white,7.9,4160.14
Argentina,2016,Dolcetto,7.0,red,7.9,55.300000000000004
Argentina,2016,Douce Noire,19071.5,red,7.9,150664.85
Argentina,2016,Ekigaina,1.0,red,7.9,7.9
Argentina,2016,Fer,182.99999999999997,red,7.9,1445.6999999999998
Argentina,2016,Ferral,31.3,red,7.9,247.27
Argentina,2016,Fiano,4.9,white,7.9,38.71000000000001
Argentina,2016,Fintendo,184.5,red,7.9,1457.55
Argentina,2016,Freisa,5.300000000000001,red,7.9,41.870000000000005
Argentina,2016,Gamay Noir,0.4,red,7.9,3.16
Argentina,2016,Garganega,29.9,white,7.9,236.21
Argentina,2016,Gargiulo 2539,29.099999999999998,red,7.9,229.89
Argentina,2016,Gargiulo 4113,2.6,red,7.9,20.540000000000003
Argentina,2016,Gargiulo 45803,10.3,white,7.9,81.37
Argentina,2016,Garnacha Blanca,1.5,white,7.9,11.850000000000001
Argentina,2016,Garnacha Tinta,21.9,red,7.9,173.01
Argentina,2016,Gibi,784.5,white,7.9,6197.55
Argentina,2016,Graciano,18.3,red,7.9,144.57000000000002
Argentina,2016,Greco,0.3,white,7.9,2.37
Argentina,2016,Greco Nero,356.4,red,7.9,2815.56
Argentina,2016,Grüner Veltliner,7.3,white,7.9,57.67
Argentina,2016,Lambrusco Grasparossa,10.8,red,7.9,85.32000000000001
Argentina,2016,Lambrusco Maestri,47.7,red,7.9,376.83000000000004
Argentina,2016,Listán Prieto,374.1,red,7.9,2955.3900000000003
Argentina,2016,Malvasia,21.1,white,7.9,166.69000000000003
Argentina,2016,Marsanne,2.1,white,7.9,16.59
Argentina,2016,Marselan,9.7,red,7.9,76.63
Argentina,2016,Maticha,257.0,white,7.9,2030.3000000000002
Argentina,2016,Mazuelo,13.2,red,7.9,104.28
Argentina,2016,Melon,1.0,white,7.9,7.9
Argentina,2016,Merlot,5632.0,red,7.9,44492.8
Argentina,2016,Monastrell,12.0,red,7.9,94.80000000000001
Argentina,2016,Montepulciano,82.1,red,7.9,648.59
Argentina,2016,Moscato Giallo,118.80000000000001,white,7.9,938.5200000000001
Argentina,2016,Muscat Blanc à Petits Grains,94.2,white,7.9,744.1800000000001
Argentina,2016,Muscat Blanc à Petits Grains (G),6526.1050000000005,white,7.9,51556.22950000001
Argentina,2016,Muscat of Alexandria,2715.5,white,7.9,21452.45
Argentina,2016,Nebbiolo,31.6,red,7.9,249.64000000000001
Argentina,2016,Nero d'Avola,0.4,red,7.9,3.16
Argentina,2016,Palomino Fino,103.8,white,7.9,820.02
Argentina,2016,Pedro Giménez,11197.0,white,7.9,88456.3
Argentina,2016,Petit Manseng,11.9,white,7.9,94.01
Argentina,2016,Petit Verdot,739.6,red,7.9,5842.84
Argentina,2016,Pinot Blanc,8.5,white,7.9,67.15
Argentina,2016,Pinot Gris,400.9,grey_or_gris,7.9,3167.11
Argentina,2016,Pinot Meunier,11.2,red,7.9,88.48
