country,year,variety,grape_color,variety_area_ha,grape_yield_tonnes_per_ha,estimated_variety_production_tons,world
Argentina,2000,Alicante Henri Bouschet,red,113.4495,12.2,1384.0839,New World
Argentina,2000,Ancellotta,red,13.4424,12.2,163.99728,New World
Argentina,2000,Arinarnoa,red,0.95,12.2,11.589999999999998,New World
Argentina,2000,Aspiran Bouschet,red,432.4426,12.2,5275.799719999999,New World
Argentina,2000,Barbera,red,1054.8559,12.2,12869.24198,New World
Argentina,2000,Bombino Bianco,white,10.122,12.2,123.48839999999998,New World
Argentina,2000,Bonamico,red,253.4047,12.2,3091.53734,New World
Argentina,2000,Bourboulenc,white,0.09,12.2,1.098,New World
Argentina,2000,Béquignol Noir,red,1081.9328,12.2,13199.58016,New World
Argentina,2000,Caberinta,red,85.3437,12.2,1041.19314,New World
Argentina,2000,Cabernet Franc,red,251.7168,12.2,3070.94496,New World
Argentina,2000,Cabernet Sauvignon,red,13776.3224,12.2,168071.13328,New World
Argentina,2000,Caladoc,red,0.67,12.2,8.174,New World
Argentina,2000,Canari Noir,red,218.1767,12.2,2661.75574,New World
Argentina,2000,Canela,grey_or_gris,0.1866,12.2,2.27652,New World
Argentina,2000,Canelon,red,8.0,12.2,97.6,New World
Argentina,2000,Cardinal,red,679.8978,12.2,8294.753159999998,New World
Argentina,2000,Cereza,grey_or_gris,31113.353,12.2,379582.9066,New World
Argentina,2000,Chardonnay,white,4681.784,12.2,57117.76479999999,New World
Argentina,2000,Chenin Blanc,white,3444.9814,12.2,42028.77308,New World
Argentina,2000,Cinsaut,red,5.9485,12.2,72.57169999999999,New World
Argentina,2000,Corvina Veronese,red,19.15,12.2,233.63,New World
Argentina,2000,Criolla Grande,red,24264.0687,12.2,296021.63814,New World
Argentina,2000,Criolla Mediana,red,1.49,12.2,18.178,New World
Argentina,2000,Côt,red,18229.5515,12.2,222400.5283,New World
Argentina,2000,Damaschino,white,826.5081,12.2,10083.39882,New World
Argentina,2000,Dawn Seedless,white,14.6,12.2,178.11999999999998,New World
Argentina,2000,Dolcetto,red,5.7948,12.2,70.69656,New World
Argentina,2000,Douce Noire,red,15659.2701,12.2,191043.09522,New World
Argentina,2000,Fer,red,347.9329,12.2,4244.78138,New World
Argentina,2000,Ferral,red,48.4565,12.2,591.1692999999999,New World
Argentina,2000,Fintendo,red,144.07070000000002,12.2,1757.66254,New World
Argentina,2000,Flame Seedless,red,515.5386,12.2,6289.570919999999,New World
Argentina,2000,Freisa,red,13.9944,12.2,170.73167999999998,New World
Argentina,2000,Gamay Noir,red,1.8375,12.2,22.4175,New World
Argentina,2000,Garganega,white,4.2675,12.2,52.0635,New World
Argentina,2000,Gargiulo 14260,red,1.0,12.2,12.2,New World
Argentina,2000,Gargiulo 2539,red,69.0009,12.2,841.81098,New World
Argentina,2000,Gargiulo 26189,red,5.82,12.2,71.004,New World
Argentina,2000,Gargiulo 26879,white,4.15,12.2,50.63,New World
Argentina,2000,Gargiulo 4113,red,7.2339,12.2,88.25358,New World
Argentina,2000,Gargiulo 45803,white,3.839,12.2,46.8358,New World
Argentina,2000,Garnacha Tinta,red,8.705,12.2,106.201,New World
Argentina,2000,Gibi,white,1226.6831,12.2,14965.53382,New World
Argentina,2000,Graciano,red,50.093,12.2,611.1346,New World
Argentina,2000,Grand Noir,red,4.13,12.2,50.386,New World
Argentina,2000,Greco Nero,red,513.2409,12.2,6261.538979999999,New World
Argentina,2000,Isabella,red,74.1798,12.2,904.99356,New World
Argentina,2000,Italia,white,256.8802,12.2,3133.93844,New World
Argentina,2000,Joubertin,red,1.439,12.2,17.5558,New World
Argentina,2000,Lambrusco Maestri,red,151.0015,12.2,1842.2183,New World
Argentina,2000,Listán Prieto,red,1057.3153,12.2,12899.24666,New World
Argentina,2000,Macabeo,white,3.3,12.2,40.26,New World
Argentina,2000,Malvasia,white,60.5233,12.2,738.3842599999999,New World
Argentina,2000,Marsanne,white,0.09,12.2,1.098,New World
Argentina,2000,Maticha,white,353.9356,12.2,4318.014319999999,New World
Argentina,2000,Mazuelo,red,56.9055,12.2,694.2471,New World
Argentina,2000,Merlot,red,6263.2421,12.2,76411.55362,New World
Argentina,2000,Michele Palieri,red,21.94,12.2,267.668,New World
Argentina,2000,Molinara,red,2.38,12.2,29.036,New World
Argentina,2000,Monastrell,red,0.32,12.2,3.904,New World
Argentina,2000,Montepulciano,red,49.0677,12.2,598.62594,New World
Argentina,2000,Moscato Giallo,white,196.991,12.2,2403.2901999999995,New World
Argentina,2000,Muscat Blanc à Petits Grains,white,149.2917,12.2,1821.35874,New World
Argentina,2000,Muscat Blanc à Petits Grains (G),white,10442.3673,12.2,127396.88106,New World
Argentina,2000,Muscat of Alexandria,white,5515.2291000000005,12.2,67285.79502,New World
Argentina,2000,Muscat of Hamburg,red,2.0843,12.2,25.42846,New World
Argentina,2000,Nebbiolo,red,217.7765,12.2,2656.8733,New World
Argentina,2000,Nero d'Avola,red,5.106999999999999,12.2,62.30539999999999,New World
Argentina,2000,Palomino Fino,white,215.8374,12.2,2633.21628,New World
Argentina,2000,Patagonia,white,29.148,12.2,355.6056,New World
Argentina,2000,Patrizia Rosa,grey_or_gris,10.45,12.2,127.48999999999998,New World
Argentina,2000,Pedro Giménez,white,14862.0256,12.2,181316.71232,New World
Argentina,2000,Perlette,white,13.6834,12.2,166.93748,New World
Argentina,2000,Petit Verdot,red,158.97490000000002,12.2,1939.49378,New World
Argentina,2000,Pinot Blanc,white,39.8371,12.2,486.01262,New World
Argentina,2000,Pinot Gris,grey_or_gris,13.0443,12.2,159.14046,New World
Argentina,2000,Pinot Meunier,red,10.68,12.2,130.296,New World
Argentina,2000,Pinot Noir,red,1113.9097,12.2,13589.69834,New World
Argentina,2000,Prosecco,white,9.428,12.2,115.02159999999998,New World
Argentina,2000,Raboso Piave,red,63.9224,12.2,779.8532799999999,New World
Argentina,2000,Red Globe,red,1940.2082,12.2,23670.54004,New World
Argentina,2000,Rieslina,white,218.9687,12.2,2671.41814,New World
Argentina,2000,Riesling,white,150.4727,12.2,1835.76694,New World
Argentina,2000,Ruby Cabernet,red,1.8,12.2,21.96,New World
Argentina,2000,Ruby Seedless,red,24.5,12.2,298.9,New World
Argentina,2000,Saint Jeannet,white,67.9536,12.2,829.0339199999999,New World
Argentina,2000,Sangiovese,red,2490.4047,12.2,30382.93734,New World
Argentina,2000,Sauvignon Blanc,white,864.7129,12.2,10549.49738,New World
Argentina,2000,Sauvignon Blanc (G),white,5.52,12.2,67.344,New World
Argentina,2000,Sauvignonasse,white,756.1866,12.2,9225.47652,New World
Argentina,2000,Savagnin Blanc,white,11.41,12.2,139.202,New World
Argentina,2000,Serna,grey_or_gris,18.6191,12.2,227.15302,New World
Argentina,2000,Silvaner,white,3.3609,12.2,41.00298,New World
Argentina,2000,Syrah,red,8888.1915,12.2,108435.9363,New World
Argentina,2000,Sémillon,white,1032.9946,12.2,12602.534119999998,New World
Argentina,2000,Tannat,red,174.3528,12.2,2127.10416,New World
Argentina,2000,Tempranillo,red,4719.8824,12.2,57582.56528,New World
Argentina,2000,Torrontes Mendocino,white,779.9365,12.2,9515.2253,New World
Argentina,2000,Torrontés Riojano,white,8126.6567,12.2,99145.21173999998,New World
Argentina,2000,Torrontés Sanjuanino,white,3169.5538,12.2,38668.55636,New World
Argentina,2000,Trebbiano Toscano,white,2764.5223,12.2,33727.17206,New World
Argentina,2000,Tribidrag,red,6.18,12.2,75.39599999999999,New World
Argentina,2000,Trousseau,red,75.2903,12.2,918.54166,New World
Argentina,2000,Verdelho,white,4.0,12.2,48.8,New World
Argentina,2000,Verduzzo Friulano,white,5.5544,12.2,67.76368,New World
Argentina,2000,Vermentino,white,2.5293,12.2,30.85746,New World
Argentina,2000,Victoria,white,145.48590000000002,12.2,1774.9279800000002,New World
Argentina,2000,Viognier,white,151.3055,12.2,1845.9271,New World
Argentina,2000,other red,red,66.5668,12.2,812.11496,New World
Argentina,2000,other white,white,29.6683,12.2,361.95326,New World
Argentina,2010,Aglianico,red,84.35610000000001,11.3,953.2239300000002,New World
Argentina,2010,Alicante Henri Bouschet,red,257.2152,11.3,2906.53176,New World
Argentina,2010,Alvarinho,white,1.95,11.3,22.035,New World
Argentina,2010,Ancellotta,red,208.9619,11.3,2361.26947,New World
Argentina,2010,Arinarnoa,red,0.95,11.3,10.735,New World
Argentina,2010,Aspiran Bouschet,red,2244.8736,11.3,25367.07168,New World
Argentina,2010,Barbera,red,733.3788,11.3,8287.18044,New World
Argentina,2010,Bombino Bianco,white,10.122,11.3,114.3786,New World
Argentina,2010,Bonamico,red,206.3675,11.3,2331.9527500000004,New World
Argentina,2010,Bourboulenc,white,3.5365,11.3,39.96245,New World
Argentina,2010,Béquignol Noir,red,890.1111,11.3,10058.25543,New World
Argentina,2010,Caberinta,red,68.796,11.3,777.3948000000001,New World
Argentina,2010,Cabernet Franc,red,592.205,11.3,6691.916500000001,New World
Argentina,2010,Cabernet Sauvignon,red,17674.0321,11.3,199716.56273,New World
Argentina,2010,Caladoc,red,13.5892,11.3,153.55796,New World
Argentina,2010,Canari Noir,red,149.8523,11.3,1693.3309900000002,New World
Argentina,2010,Canela,grey_or_gris,1.3083,11.3,14.783790000000002,New World
Argentina,2010,Canelon,red,8.0,11.3,90.4,New World
Argentina,2010,Carmenère,red,33.1154,11.3,374.20402,New World
Argentina,2010,Cereza,grey_or_gris,29934.1788,11.3,338256.22044000006,New World
Argentina,2010,Chardonnay,white,6583.836499999999,11.3,74397.35244999999,New World
Argentina,2010,Chenin Blanc,white,2850.5778,11.3,32211.52914,New World
Argentina,2010,Cinsaut,red,5.9485,11.3,67.21805,New World
Argentina,2010,Corvina Veronese,red,18.7775,11.3,212.18575,New World
Argentina,2010,Corvinone,red,0.7,11.3,7.91,New World
Argentina,2010,Criolla Grande,red,20744.8013,11.3,234416.25469,New World
Argentina,2010,Criolla Mediana,red,3.49,11.3,39.437000000000005,New World
Argentina,2010,Croatina,red,15.3462,11.3,173.41206,New World
Argentina,2010,Côt,red,28543.1155,11.3,322537.20515,New World
Argentina,2010,Damaschino,white,673.6202999999999,11.3,7611.90939,New World
Argentina,2010,Dolcetto,red,6.2497,11.3,70.62161,New World
Argentina,2010,Douce Noire,red,18775.4493,11.3,212162.57709,New World
Argentina,2010,Ekigaina,red,0.95,11.3,10.735,New World
Argentina,2010,Fer,red,262.70300000000003,11.3,2968.5439000000006,New World
Argentina,2010,Ferral,red,30.4083,11.3,343.61379000000005,New World
Argentina,2010,Fintendo,red,118.1123,11.3,1334.66899,New World
Argentina,2010,Freisa,red,12.1994,11.3,137.85322,New World
Argentina,2010,Gamay Noir,red,1.6375000000000002,11.3,18.503750000000004,New World
Argentina,2010,Garganega,white,21.3137,11.3,240.84481,New World
Argentina,2010,Gargiulo 14260,red,1.0,11.3,11.3,New World
Argentina,2010,Gargiulo 2539,red,48.834,11.3,551.8242,New World
Argentina,2010,Gargiulo 26879,white,2.5,11.3,28.25,New World
Argentina,2010,Gargiulo 4113,red,6.105,11.3,68.9865,New World
Argentina,2010,Gargiulo 45803,white,8.1,11.3,91.53,New World
Argentina,2010,Garnacha Tinta,red,21.8762,11.3,247.20106,New World
Argentina,2010,Gibi,white,1073.8209,11.3,12134.17617,New World
Argentina,2010,Graciano,red,29.412,11.3,332.35560000000004,New World
Argentina,2010,Grand Noir,red,2.06,11.3,23.278,New World
Argentina,2010,Greco,white,0.25,11.3,2.825,New World
Argentina,2010,Greco Nero,red,429.0517,11.3,4848.28421,New World
Argentina,2010,Italia,white,192.1706,11.3,2171.5277800000003,New World
Argentina,2010,Joubertin,red,1.439,11.3,16.2607,New World
Argentina,2010,Lambrusco Grasparossa,red,8.1,11.3,91.53,New World
